Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
1,Max Aarons,eng ENG,DF,Bournemouth,25-089,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-333,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,2024-2025
3,Tyler Adams,us USA,MF,Bournemouth,26-048,1999,20,13,1290,14.3,0,3,3,0,0,0,4,0,1.2,1.2,0.8,1.9,10,49,7,0.00,0.21,0.21,0.00,0.21,0.08,0.06,0.14,0.08,0.14,Matches,2024-2025
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-191,1997,16,11,1091,12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,5,30,1,0.08,0.08,0.16,0.08,0.16,0.07,0.02,0.09,0.07,0.09,Matches,2024-2025
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-092,2002,21,7,715,7.9,2,1,3,2,0,0,0,0,1.7,1.7,1.5,3.1,25,11,88,0.25,0.13,0.38,0.25,0.38,0.21,0.18,0.39,0.21,0.39,Matches,2024-2025
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-290,1997,8,8,690,7.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,16,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,2024-2025
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-187,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches,2024-2025
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-177,1996,30,30,2569,28.5,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches,2024-2025
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-301,2001,29,29,2462,27.4,3,5,8,3,0,0,6,1,1.9,1.9,2.7,4.6,64,94,140,0.11,0.18,0.29,0.11,0.29,0.07,0.10,0.17,0.07,0.17,Matches,2024-2025
10,Kristoffer Ajer,no NOR,DF,Brentford,26-351,1998,17,15,1213,13.5,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,25,48,38,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14,Matches,2024-2025
11,Manuel Akanji,ch SUI,DF,Manchester City,29-258,1995,20,20,1707,19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,2024-2025
12,Nathan Aké,nl NED,DF,Manchester City,30-044,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2024-2025
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-124,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches,2024-2025
