Player,Nation,Pos,is_gk,is_df,is_mf,is_fw,Season,Squad,Age,Starts,Min,90s,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Max Aarons,ENG,DF,0,1,0,0,2024-2025,Bournemouth,25,1,86,1.0,0.0,0.0,0.0,73.0,2.0,19.0,40.0,15.0,0.0,73.0,2.0,0.0,0.0,1.0,50.0,41.0,152.0,68.0,1.0,0.0,0.0,1.0,0.0,40.0,3.0
Joshua Acheampong,ENG,DF,0,1,0,0,2024-2025,Chelsea,18,2,170,1.9,0.12,0.0,0.12,72.11,3.68,25.26,42.63,4.21,1.58,72.11,1.05,0.53,26.32,0.0,0.0,55.79,373.16,215.26,0.0,1.05,0.0,1.05,0.0,58.42,0.0
Tyler Adams,USA,MF,0,0,1,0,2024-2025,Bournemouth,26,13,1290,14.3,0.08,0.06,0.14,61.82,2.59,15.73,35.73,10.91,0.84,61.82,0.91,0.14,1.08,0.56,4.3,29.37,130.49,58.88,0.7,0.98,0.07,1.47,0.63,33.29,0.49
Tosin Adarabioyo,ENG,DF,0,1,0,0,2024-2025,Chelsea,27,11,1091,12.1,0.07,0.02,0.09,87.77,11.32,42.07,44.21,1.57,0.99,87.77,0.17,0.17,8.26,0.0,0.0,53.06,218.68,124.71,0.41,0.08,0.0,0.25,0.0,68.02,0.08
Simon Adingra,CIV,"FW,MF",0,0,1,1,2024-2025,Brighton,23,7,715,7.9,0.21,0.18,0.39,44.81,0.76,6.58,14.05,24.81,5.7,44.81,4.18,1.77,5.37,2.41,7.29,28.99,191.14,90.63,3.16,1.9,1.65,3.67,1.01,31.01,11.14
Emmanuel Agbadou,CIV,DF,0,1,0,0,2024-2025,Wolves,27,8,690,7.7,0.01,0.0,0.01,69.61,11.95,38.57,29.87,1.69,0.0,69.61,0.91,0.78,11.13,0.13,1.86,40.65,208.83,94.03,0.13,0.26,0.0,0.26,0.26,44.68,0.0
Asher Agbinone,ENG,MF,0,0,1,0,2024-2025,Crystal Palace,19,0,6,0.1,0.29,0.5,0.79,80.0,0.0,0.0,20.0,60.0,0.0,80.0,20.0,0.0,0.0,10.0,500.0,50.0,530.0,230.0,20.0,0.0,0.0,0.0,10.0,50.0,10.0
Ola Aina,NGA,DF,0,1,0,0,2024-2025,Nott'ham Forest,28,30,2569,28.5,0.02,0.03,0.05,51.3,4.84,18.91,21.4,11.86,0.74,51.3,2.25,1.02,1.59,0.84,1.32,22.07,141.26,81.68,1.89,1.23,0.35,1.37,0.74,24.25,1.82
Rayan Aït-Nouri,ALG,DF,0,1,0,0,2024-2025,Wolves,23,29,2462,27.4,0.07,0.1,0.17,60.84,2.85,16.82,26.53,18.25,2.34,60.84,3.43,1.68,1.78,1.28,1.36,31.79,173.76,90.88,2.34,1.86,0.66,1.31,1.31,36.86,5.11
Kristoffer Ajer,NOR,DF,0,1,0,0,2024-2025,Brentford,26,15,1213,13.5,0.05,0.09,0.14,49.85,3.11,16.3,23.33,10.59,2.44,49.85,1.04,0.52,3.7,0.44,3.18,24.96,140.67,80.89,1.85,0.67,0.15,0.89,0.81,32.22,2.81
Manuel Akanji,SUI,DF,0,1,0,0,2024-2025,Manchester City,29,20,1707,19.0,0.04,0.02,0.06,83.74,5.68,24.84,40.68,18.32,0.58,83.74,0.11,0.11,5.26,0.0,0.0,54.79,289.58,172.95,2.0,2.74,0.0,0.21,0.26,66.21,0.32
Nathan Aké,NED,DF,0,1,0,0,2024-2025,Manchester City,30,8,678,7.5,0.03,0.0,0.03,79.47,6.8,27.33,44.13,8.13,0.67,79.47,0.13,0.13,13.33,0.0,0.0,53.73,299.2,200.13,1.6,1.6,0.13,0.53,0.4,59.87,0.27
Carlos Alcaraz,ARG,MF,0,0,1,0,2024-2025,Southampton,22,0,10,0.1,0.62,0.86,1.48,170.0,0.0,10.0,80.0,90.0,20.0,170.0,20.0,0.0,0.0,20.0,1000.0,120.0,1120.0,980.0,40.0,10.0,0.0,0.0,0.0,120.0,10.0
Carlos Alcaraz,ARG,"MF,FW",0,0,1,1,2024-2025,Everton,22,4,394,4.4,0.28,0.26,0.53,48.64,2.05,9.32,20.0,20.68,2.5,48.64,2.27,1.36,13.64,0.68,6.82,25.91,157.73,89.09,2.27,2.73,0.0,1.14,1.82,30.68,1.82
Trent Alexander-Arnold,ENG,DF,0,1,0,0,2024-2025,Liverpool,26,26,2145,23.8,0.07,0.28,0.35,85.88,3.45,22.94,37.9,25.59,1.64,85.88,1.22,0.55,1.88,0.59,2.03,45.17,209.16,111.43,2.02,1.47,0.34,0.8,0.63,54.58,3.66
Alisson,BRA,GK,1,0,0,0,2024-2025,Liverpool,32,21,1878,20.9,0.0,0.03,0.03,32.63,23.88,31.96,0.67,0.0,0.0,32.63,0.05,0.05,4.78,0.0,0.0,21.39,86.27,50.86,0.0,0.0,0.0,0.05,0.0,19.47,0.0
Miguel Almirón,PAR,FW,0,0,0,1,2024-2025,Newcastle Utd,31,1,157,1.7,0.3,0.15,0.45,47.65,0.59,5.88,20.59,21.18,5.29,47.65,1.18,0.59,29.41,0.59,29.41,31.76,167.06,54.71,1.76,1.76,1.18,0.0,1.18,34.71,10.59
Edson Álvarez,MEX,MF,0,0,1,0,2024-2025,West Ham,27,18,1580,17.6,0.02,0.05,0.06,59.72,3.35,17.78,32.78,9.6,0.68,59.72,1.7,0.8,2.65,0.68,2.27,32.1,179.2,80.8,1.14,1.02,0.11,1.31,0.74,39.49,1.02
Will Alves,ENG,FW,0,0,0,1,2024-2025,Leicester City,20,0,1,0.0,0.0,0.0,0.0,inf,,,,inf,,inf,,,,,,inf,inf,inf,,,,,,inf,inf
Harry Amass,ENG,DF,0,1,0,0,2024-2025,Manchester Utd,18,0,22,0.2,0.0,0.0,0.0,135.0,15.0,60.0,45.0,30.0,0.0,135.0,0.0,0.0,,0.0,,55.0,220.0,50.0,0.0,0.0,0.0,5.0,15.0,50.0,5.0
Samuel Amo-Ameyaw,ENG,"FW,DF",0,1,0,1,2024-2025,Southampton,18,0,28,0.3,0.07,0.22,0.29,53.33,0.0,16.67,16.67,23.33,3.33,53.33,13.33,0.0,0.0,10.0,250.0,36.67,326.67,226.67,3.33,0.0,3.33,0.0,6.67,36.67,10.0
Mathis Amougou,FRA,MF,0,0,1,0,2024-2025,Chelsea,19,0,8,0.1,0.0,0.0,0.0,90.0,10.0,20.0,40.0,30.0,0.0,90.0,0.0,0.0,,0.0,,70.0,250.0,50.0,0.0,10.0,0.0,0.0,10.0,60.0,0.0
Joachim Andersen,DEN,DF,0,1,0,0,2024-2025,Crystal Palace,28,1,90,1.0,0.04,0.0,0.04,93.0,14.0,38.0,50.0,5.0,0.0,93.0,0.0,0.0,,0.0,,49.0,189.0,103.0,1.0,1.0,0.0,0.0,1.0,67.0,1.0
Joachim Andersen,DEN,DF,0,1,0,0,2024-2025,Fulham,28,21,1863,20.7,0.02,0.02,0.04,83.57,12.17,43.38,37.54,3.14,0.63,83.57,0.19,0.19,4.83,0.0,0.0,49.52,228.84,112.85,0.53,0.39,0.05,0.19,0.14,58.89,0.05
Elliot Anderson,ENG,MF,0,0,1,0,2024-2025,Nott'ham Forest,22,25,2047,22.7,0.06,0.13,0.19,58.37,3.26,13.48,27.27,18.81,2.33,58.37,2.86,1.41,2.17,1.1,1.7,29.21,162.33,74.71,1.54,1.19,0.66,2.2,1.45,34.19,3.08
