Squad,Season,Poss,Age,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,2024-2025,55.7,26.5,1.56,1.19,2.75,623.77,47.7,158.5,270.2,199.9,33.07,623.7,19.5,8.5,1.45,8.6,1.47,362.97,1920.73,1015.07,22.13,13.23,7.4,12.53,10.3,434.5,47.43
Aston Villa,2024-2025,51.2,27.8,1.41,1.05,2.46,579.27,68.77,196.63,248.4,139.9,24.87,579.17,19.63,8.87,1.51,8.2,1.39,327.03,1799.07,941.43,18.9,12.03,5.5,13.3,10.23,387.07,34.0
Bournemouth,2024-2025,47.6,25.8,1.83,1.24,3.07,565.83,58.17,169.27,241.87,161.97,27.7,565.6,18.7,8.0,1.43,8.57,1.53,303.6,1732.17,921.2,19.5,13.1,6.47,16.33,9.8,330.1,39.0
Brentford,2024-2025,48.3,26.6,1.54,1.11,2.65,576.5,88.73,223.47,214.87,143.2,26.03,576.33,16.6,6.97,1.4,7.8,1.57,305.1,1652.97,837.8,16.03,9.7,5.6,13.63,8.17,355.6,36.27
Brighton,2024-2025,51.9,25.6,1.49,1.05,2.54,618.5,69.67,201.27,268.27,155.93,27.43,618.4,21.97,9.17,1.39,10.7,1.62,354.63,1983.23,1085.07,21.17,14.57,6.63,15.27,9.53,406.17,39.7
Chelsea,2024-2025,58.1,24.3,1.93,1.48,3.41,679.17,62.79,204.21,309.41,171.0,30.0,679.03,20.9,8.76,1.44,9.03,1.49,394.07,2105.24,1117.03,23.0,13.31,8.31,12.17,8.07,487.24,40.86
Crystal Palace,2024-2025,44.3,26.9,1.55,1.17,2.72,552.38,67.55,202.03,233.0,122.72,20.97,552.31,13.0,5.62,1.49,6.1,1.62,276.34,1409.83,678.48,13.31,9.38,3.38,12.97,9.48,322.62,31.97
Everton,2024-2025,40.3,28.9,1.08,0.83,1.9,508.93,65.37,184.7,203.17,126.9,19.13,508.9,17.5,7.77,1.48,8.47,1.61,246.3,1318.97,648.53,12.73,9.57,3.3,13.47,10.57,291.63,26.53
Fulham,2024-2025,52.5,28.7,1.35,1.05,2.41,637.3,69.1,212.33,266.13,165.5,24.53,637.17,17.43,7.9,1.51,6.93,1.33,379.53,1956.13,1008.13,20.87,14.6,6.0,12.87,7.63,431.1,41.0
Ipswich Town,2024-2025,41.3,26.4,0.94,0.64,1.58,511.6,77.87,205.53,202.6,108.83,16.17,511.53,16.47,7.37,1.49,7.3,1.48,257.8,1434.43,691.53,13.6,8.97,4.17,14.63,9.47,307.5,24.67
Leicester City,2024-2025,45.3,27.3,0.86,0.68,1.54,576.73,75.33,210.03,262.77,109.67,16.83,576.67,17.37,7.13,1.37,8.37,1.61,323.27,1633.0,816.07,15.83,9.87,3.53,13.47,8.63,365.3,29.03
Liverpool,2024-2025,57.6,27.9,2.21,1.61,3.82,682.53,61.43,186.8,307.07,194.6,34.43,682.23,17.53,8.33,1.58,7.87,1.5,395.53,2016.07,1077.47,21.87,14.8,8.77,13.97,9.2,477.67,50.03
Manchester City,2024-2025,61.1,27.4,1.8,1.47,3.26,736.4,54.97,171.23,310.63,260.37,36.33,736.3,21.2,10.17,1.6,7.97,1.25,471.73,2731.57,1471.13,30.77,22.63,11.17,12.2,10.33,557.57,50.73
Manchester Utd,2024-2025,53.2,26.3,1.35,1.01,2.36,651.73,67.07,228.1,279.13,150.5,24.93,651.63,16.63,6.83,1.37,8.63,1.73,400.1,1986.23,997.3,17.6,12.17,5.93,13.13,9.3,438.73,37.03
Newcastle Utd,2024-2025,50.3,27.9,1.64,1.23,2.87,602.38,62.69,203.45,250.83,154.03,27.21,602.24,17.9,7.83,1.51,7.72,1.49,347.45,1862.79,932.34,19.34,12.03,7.0,12.69,12.76,397.28,39.9
Nott'ham Forest,2024-2025,39.7,26.9,1.24,0.9,2.14,491.03,65.23,168.27,194.0,135.27,21.13,490.93,16.6,7.63,1.53,6.43,1.29,226.17,1302.37,691.3,16.63,10.73,4.97,15.47,8.5,274.0,28.57
Southampton,2024-2025,50.2,26.0,0.92,0.69,1.61,615.2,78.17,224.2,265.83,130.47,18.97,615.13,19.6,8.4,1.43,8.8,1.5,343.3,1814.13,932.6,17.8,12.8,4.53,12.47,9.47,420.8,31.07
Tottenham,2024-2025,56.8,25.9,1.63,1.27,2.9,666.66,68.45,214.52,280.97,177.93,28.97,666.59,22.14,8.62,1.34,11.34,1.77,417.9,2288.45,1142.93,23.14,15.97,7.21,14.21,11.31,454.31,44.31
West Ham,2024-2025,47.3,28.8,1.25,0.88,2.14,591.3,76.63,216.2,252.0,128.9,22.6,591.2,20.77,9.07,1.46,9.3,1.49,297.83,1516.97,767.83,16.37,10.57,4.73,13.0,10.5,374.83,31.77
Wolves,2024-2025,47.6,27.6,1.08,0.89,1.98,578.33,70.07,204.5,259.7,121.03,18.33,578.3,18.47,8.13,1.47,7.77,1.4,314.2,1727.97,896.97,15.73,11.93,3.87,14.93,9.43,367.87,31.37
Arsenal,2023-2024,58.2,25.0,2.0,1.46,3.46,697.18,51.95,176.68,300.18,225.26,38.95,696.92,17.66,7.45,1.11,8.0,1.19,428.87,2136.08,1092.37,21.61,15.13,8.61,13.82,9.87,497.82,54.95
Aston Villa,2023-2024,53.1,26.9,1.67,1.28,2.95,606.82,73.87,215.03,253.58,143.66,26.58,606.71,19.92,9.08,1.2,8.29,1.09,380.29,2069.18,1085.24,20.39,12.89,5.71,12.55,10.95,416.42,37.84
Bournemouth,2023-2024,44.4,25.7,1.47,1.06,2.54,544.74,65.42,179.47,222.87,149.63,27.18,544.66,22.95,10.05,1.15,10.89,1.25,289.87,1746.55,911.45,18.66,13.5,6.32,16.76,10.16,309.76,34.11
Brentford,2023-2024,45.2,26.6,1.53,1.12,2.66,558.61,75.74,209.05,217.18,137.11,25.84,558.53,15.18,6.39,1.11,7.08,1.23,288.68,1490.03,773.97,13.29,9.55,4.11,14.63,7.13,326.74,33.58
Brighton,2023-2024,59.8,25.9,1.49,1.09,2.59,766.11,84.13,248.66,344.47,178.05,28.45,765.95,18.82,7.82,1.09,8.47,1.18,500.53,2446.32,1286.42,22.74,15.37,7.08,15.24,9.0,567.82,46.5
Burnley,2023-2024,47.4,24.5,1.07,0.78,1.85,583.71,76.5,211.08,242.0,135.66,21.55,583.63,18.39,7.89,1.13,8.66,1.24,322.21,1760.89,932.13,19.13,12.11,6.32,13.61,7.79,362.61,30.58
Chelsea,2023-2024,58.6,24.2,1.96,1.35,3.31,729.61,79.87,246.5,317.58,172.58,27.34,729.29,22.87,10.47,1.21,9.61,1.11,437.47,2226.71,1160.05,22.97,14.29,7.66,15.89,9.74,523.66,42.11
Crystal Palace,2023-2024,42.3,26.7,1.28,1.02,2.3,562.29,61.82,190.45,244.18,133.61,20.97,562.18,19.39,8.97,1.22,8.42,1.14,287.97,1461.74,706.26,13.32,10.08,4.47,15.95,11.21,337.13,30.55
Everton,2023-2024,40.8,27.1,1.42,1.0,2.43,527.71,67.58,178.74,215.26,139.03,21.29,527.63,14.84,6.58,1.17,7.03,1.24,257.11,1372.63,681.68,13.03,10.24,3.34,14.74,8.42,296.16,29.45
